id                           ,input_adata                                                ,min_counts ,max_counts ,min_genes ,max_genes ,max_pct_mito ,integrated cells n ,Platfrom_Chem ,assembly ,names      ,doi                           ,stage    ,disease ,cell_sorting                                                                 ,freezing         ,prior_treatment                                               ,adjacent_near                                   ,num_samples_tumor ,remarks                                          ,num_early ,num_late ,journal               ,sample type                 ,tissue dissociation ,tumor_annot                                                                                                                                                                   ,doublet
Chen_Zhang_2020_NSCLC        ,data/12_input_adatas/Chen_Zhang_2020_NSCLC.h5ad            ,600        ,30000      ,      250 ,10000     ,          20 ,             97876 ,10x-3'-v2     ,GrCh38   ,Chen       ,10.1186/s13059-020-02064-6    ,I-III    ,NSCLC   ,density gradient                                                             ,no               ,no                                                            ,no adjacent                                     ,               11 ,only used 30 PCS for clustering                  ,        6 ,       5 ,Genome Biology        ,tissue from lobe resection  ,enzymatic           ,scMatch? and marker genes for subcluster                                                                                                                                      ,SOLO
Kim_Lee_2020_LUAD            ,data/12_input_adatas/Kim_Lee_2020_LUAD.h5ad                ,1000       ,35000      ,      300 ,10000     ,          20 ,            176109 ,10x-3'-v2     ,GrCh38   ,Kim        ,10.1038/s41467-020-16164-1    ,I-IV     ,LUAD    ,density gradient                                                             ,no               ,no                                                            ,pretty far away and only in early cancer        ,               15 ,                                                 ,        9 ,       6 ,Nature Com            ,tissue from lobe resection  ,enzymatic           ,inferCNV vs normal adjacent tissue with >0.02 mean squares or >0.2 CNV correlation.                                                                                           ,SOLO
He_Fan_2021_LUAD             ,data/12_input_adatas/He_Fan_2021_LUAD.h5ad                 ,600        ,30000      ,      250 ,10000     ,          20 ,             88920 ,10x-3'-v2     ,GrCh38   ,He         ,10.1038/s41388-020-01528-0    ,I-II     ,LUAD    ,no sorting                                                                   ,in ice for 1hour ,no                                                            ,near and considered together in their analysis  ,                5 ,                                                 ,        5 ,       0 ,Oncogene              ,tissue from lobe resection  ,enzymatic           ,InferCNV malignant cells they dont give code... but a list of the genes used.                                                                                                 ,SOLO
Laughney_Massague_2020_NSCLC ,data/12_input_adatas/laughney_massague_2020_nsclc.h5ad     ,1800       ,40000      ,      500 ,10000     ,          20 ,             26425 ,10x-3'-v2     ,GrCh38   ,Laughney   ,10.1038/s41591-019-0750-6     ,I-II-IV  ,LUAD    ,"FACS-enrichment for viable, single cells                                  " ,no               ,"1x chemotherapy, 12x no                            "         ,wedge spanning the distal and conducting airway ,                8 ,                                                 ,        7 ,       1 ,Nature Med            ,tissue from lobe resection  ,enzymatic           ,"GSEA mixture of sigantures and a tumor grading by sox2 and sox9, also p/specific"                                                                                            ,SOLO
Maynard_Bivona_2020_NSCLC    ,data/12_input_adatas/maynard2020.h5ad                      ,20000      ,20000000   ,      600 ,20000     ,          30 ,             18750 ,Smart-seq2    ,GrCh38   ,Maynard    ,10.1016/j.cell.2020.07.017    ,I-III-IV ,LUAD    ,FACS-enrichment 50%  for CD45+/PI-/Hoechst+; 50%  for CD45-/PI-/Hoechst+     ,no               ,"7x TKI, 6x no                                              " ,analyzed together seems not that far            ,               13 ,                                                 ,        1 ,      12 ,Cell                  ,biopsy                      ,enzymatic           ,InferCNV vs fibros and endothelial cells and cuttof where all normal cells where in one hcluster                                                                              ,SOLO
Wu_Zhou_2021_NSCLC           ,data/12_input_adatas/wu_zhou_2021_nsclc.h5ad               ,not        ,30000      ,      200 ,5000      ,          30 ,             59079 ,Singleron     ,GrCh38   ,Wu         ,10.1038/s41467-021-22801-0    ,III-IV   ,NSCLC   ,no sorting                                                                   ,no               ,"2x TKI, 3x immunotherapy, 2xchemotherapy, 35x no   "         ,no normal                                       ,               42 ,                                                 ,        0 ,      42 ,Natuancerre Com            ,biopsy                      ,enzymatic           ,NAPSA for LUAD and TP63 CK5 for LUSC also Cancer cell clusters were negative for normal lung epithelial markers and positive for EPCAM                                        ,SOLO
Zilionis_Klein_2019_NSCLC    ,data/12_input_adatas/zilionis_klein_2019_nsclc.h5ad        ,600        ,30000      ,      200 ,10000     ,          20 ,             25694 ,InDrop        ,GrCh38   ,Zilionis   ,10.1016/j.immuni.2019.03.009  ,I-IV     ,NSCLC   ,no sorting                                                                   ,no               ,"1x chemotherapy, 6x no                             "         ,no normal                                       ,               18 ,                                                 ,        9 ,       9 ,Immunity              ,tissue from lobe resection  ,enzymatic           ,Marker genes of clusters that are patient specific                                                                                                                            ,SOLO
UKIM-V                       ,data/12_input_adatas/batch1_3patients.h5ad                 ,2000       ,100005     ,      200 ,8000      ,          30 ,             11401 ,BD-Rhapsody   ,GrCh38   ,UKIM-V     ,10.1101/2022.05.09.491204     ,I-III    ,NSCLC   ,no sorting                                                                   ,no               ,no                                                            ,>5cm apart                                      ,                3 ,                                                 ,        3 ,       0 ,Cancer Cell           ,tissue from lobe resection  ,enzymatic           ,Annotate a seed from maynard and lambrechts; Integrate with scvi and scanvi and then annotate leiden clsuters with marker genes from hlca and manual. The tumor cells also.   ,SOLO
UKIM-V-2                     ,data/11_own_datasets/batch2/h5ad_raw/ukim_v_batch2.h5ad    ,1000       ,60000      ,      200 ,8000      ,          30 ,             54365 ,BD-Rhapsody   ,GrCh38   ,UKIM-V-2   ,10.1158/0008-5472.CAN-23-0128 ,I-III    ,NSCLC   ,no sorting                                                                   ,no               ,no                                                            ,>5cm apart                                      ,               14 ,sus marker g no corrigen abundance               ,       10 ,       4 ,Cancer Cell           ,tissue from lobe resection  ,enzymatic           ,This was annotated via label transfer with ScANVI                                                                                                                             ,SOLO
Lambrechts_2018_LUAD_6149v1  ,data/12_input_adatas/lambrechts_2018_luad_6149v1.h5ad      ,600        ,30000      ,      200 ,10000     ,          15 ,              3243 ,10x-3'-v1     ,hg19     ,Lambrechts ,10.1038/s41591-018-0096-5     ,I-III    ,NSCLC   ,no sorting                                                                   ,no               ,no                                                            ,>5cm apart                                      ,                6 ,                                                 ,        6 ,       0 ,Nature Med            ,tissue from lobe resection  ,enzymatic           ,"Clusters via t-sne only, annotation with marker genes for seed and then annotation via randomforest classifier"                                                              ,SOLO
